iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
240,0.00593503897121,0.132943941386,0.133004865986,0.986666666667,0.691358024691,0.709956709957,0.980988593156,0.553571428571,0.583850931677,0.329934601
250,0.00553739451857,0.133350913753,0.133270220398,0.989333333333,0.691358024691,0.705627705628,0.984848484848,0.553571428571,0.58024691358,0.34034763
260,0.00511733593056,0.133329272498,0.133009679335,0.992,0.691358024691,0.705627705628,0.988593155894,0.553571428571,0.58024691358,0.35093818
270,0.00471583679388,0.134096693726,0.133902160795,0.989333333333,0.685185185185,0.701298701299,0.984848484848,0.548672566372,0.576687116564,0.361611622
280,0.00412270756595,0.135623193719,0.135122917402,0.992,0.679012345679,0.701298701299,0.988593155894,0.543859649123,0.571428571429,0.371840828
290,0.00384632946701,0.136423247759,0.134737026149,0.994666666667,0.685185185185,0.701298701299,0.992366412214,0.548672566372,0.571428571429,0.382523945
300,0.00347709799801,0.138558732074,0.133217394331,0.994666666667,0.691358024691,0.705627705628,0.992366412214,0.553571428571,0.58024691358,0.392921766
310,0.00324515655994,0.13951804692,0.131953617238,0.994666666667,0.691358024691,0.714285714286,0.992366412214,0.553571428571,0.59756097561,0.402914269
320,0.00305237993437,0.139567033733,0.131882685504,0.994666666667,0.697530864198,0.714285714286,0.992366412214,0.558558558559,0.59756097561,0.413542171
330,0.00287611012468,0.141544162771,0.132050685871,0.994666666667,0.685185185185,0.714285714286,0.992366412214,0.548672566372,0.59756097561,0.424246008
340,0.00267850059082,0.143185208094,0.132542797845,0.994666666667,0.685185185185,0.714285714286,0.992366412214,0.548672566372,0.59756097561,0.434854481
350,0.00247697050485,0.143184180272,0.134841049449,0.994666666667,0.685185185185,0.709956709957,0.992366412214,0.548672566372,0.588957055215,0.445126498
360,0.002324879144,0.14583508532,0.135445340626,0.994666666667,0.679012345679,0.705627705628,0.992366412214,0.543859649123,0.58024691358,0.455877553
370,0.002184139347,0.14739755004,0.135676861915,0.994666666667,0.672839506173,0.701298701299,0.992366412214,0.539130434783,0.571428571429,0.466781401
380,0.00207588102123,0.146681408563,0.135734381723,0.994666666667,0.685185185185,0.705627705628,0.992366412214,0.548672566372,0.58024691358,0.476958393
390,0.00196821313323,0.146787108949,0.139063796269,0.994666666667,0.672839506173,0.705627705628,0.992366412214,0.530973451327,0.575,0.487148024
400,0.00187974176617,0.142433957249,0.13920991227,0.994666666667,0.691358024691,0.705627705628,0.992366412214,0.545454545455,0.575,0.497235261
410,0.00174378849909,0.143224144461,0.139924363042,0.994666666667,0.685185185185,0.705627705628,0.992366412214,0.540540540541,0.575,0.507360608
420,0.00168879601602,0.144951083523,0.140253616819,0.994666666667,0.679012345679,0.701298701299,0.992366412214,0.535714285714,0.571428571429,0.517222245
430,0.00159764635217,0.143514397397,0.13947687825,0.994666666667,0.679012345679,0.69696969697,0.992366412214,0.551724137931,0.567901234568,0.527352644
